X1;X2;X3;X4;XAntSigatoka;Sigatoka
26.26;91.18;5.80;0.68;5930.48;5635.93
26.24;90.85;23.40;1.30;5635.93;5070.77
26.07;90.32;13.00;0.72;5070.77;5038.17
25.31;91.74;1.60;0.91;5038.17;5726.04
25.61;91.80;27.60;0.59;5726.04;5608.23
24.91;92.85;17.60;0.61;5608.23;5045.14
23.73;83.91;13.80;1.30;5045.14;5005.99
24.87;96.36;99.20;0.39;5005.99;5095.78
24.38;94.36;63.80;0.84;5095.78;5116.98
25.43;93.55;94.00;0.60;5116.98;5082.93
25.08;90.40;18.40;0.79;5082.93;5440.70
24.91;95.90;125.20;0.31;5440.70;5104.66
24.55;96.08;81.00;0.66;5104.66;5221.20
24.42;89.84;7.60;1.76;5221.20;5064.30
23.93;93.59;72.20;1.12;5064.30;5488.37
24.05;91.85;22.60;1.27;5488.37;5449.71
24.21;92.55;21.80;1.52;5449.71;5269.47
23.90;88.35;0.60;1.76;5269.47;5034.41
24.98;87.55;1.00;1.68;5034.41;4886.20
23.63;90.68;48.00;1.69;4886.20;5058.32
25.67;90.67;19.60;1.67;5058.32;4832.30
24.67;88.35;18.20;1.76;4832.30;4488.54
25.10;89.47;78.20;1.73;4488.54;4351.83
24.85;88.56;14.20;1.40;4351.83;4492.21
25.26;88.45;19.00;1.52;4492.21;4976.98
25.28;93.06;30.00;1.90;4976.98;4677.30
26.02;92.95;36.80;1.24;4677.30;5486.14
26.26;85.99;0.20;1.46;5486.14;5166.52
25.86;88.10;10.00;2.04;5166.52;5275.26
25.83;91.16;68.80;1.43;5275.26;6243.95
26.14;92.03;10.20;0.94;6243.95;5501.93
27.04;90.68;1.00;1.17;5501.93;5499.93
25.86;91.93;65.60;0.74;5499.93;5865.33
26.46;90.84;58.20;1.02;5865.33;5783.50
26.13;90.04;8.00;0.85;5783.50;5660.04
26.58;90.01;5.60;0.34;5660.04;6012.92
25.87;92.82;19.20;0.64;6012.92;5836.50
25.93;94.14;81.00;0.67;5836.50;5469.73
26.42;93.92;173.60;0.99;5469.73;5437.48
24.91;94.89;37.00;0.79;5437.48;5955.40
25.69;92.06;56.40;1.02;5955.40;6070.26
25.36;91.98;30.80;0.86;6070.26;6630.09
26.01;91.40;10.80;1.01;6630.09;6369.63
26.46;88.76;0.60;1.38;6369.63;5599.18
26.15;89.08;7.20;1.40;5599.18;5710.03
26.07;89.79;59.00;1.03;5710.03;5371.78
26.16;89.52;24.60;1.03;5371.78;5438.94
26.13;88.93;3.60;1.32;5438.94;5556.73
25.37;92.88;31.80;1.06;5556.73;4894.52
26.00;91.17;6.40;1.07;4894.52;5375.15
26.14;89.33;8.80;1.21;5375.15;5701.90
25.60;92.70;107.00;0.99;5701.90;5297.86
25.16;98.33;0.00;0.00;5297.86;4781.95
25.34;94.13;32.15;0.50;4781.95;5587.98
25.33;81.36;8.50;1.33;5587.98;5521.47
26.03;78.17;34.80;1.43;5521.47;5436.04
23.51;87.94;502.00;1.51;5436.04;4558.49
24.58;85.13;109.10;1.08;4558.49;4828.63
25.36;84.66;37.40;0.00;4828.63;5171.54
24.89;83.35;96.00;0.01;5171.54;5291.68
24.43;83.23;63.30;0.00;5291.68;5247.73
24.02;94.33;106.00;0.79;5247.73;4828.30
24.69;93.50;53.80;1.09;4828.30;5037.06
23.10;97.96;208.30;0.72;5037.06;5304.38
23.87;85.08;90.20;0.00;5304.38;5051.84
24.53;81.99;53.00;0.00;5051.84;5054.15
24.42;79.81;7.30;0.00;5054.15;4596.63
24.51;81.05;27.60;0.00;4596.63;5122.26
24.15;76.57;22.90;0.00;5122.26;4948.05
23.44;87.68;0.40;1.60;4948.05;4813.47
24.04;93.51;29.60;1.49;4813.47;4721.53
24.39;91.19;25.80;1.34;4721.53;4546.36
24.05;88.60;1.60;1.64;4546.36;4700.99
24.66;87.65;15.20;1.70;4700.99;4858.04
24.20;87.18;1.80;1.75;4858.04;4916.28
24.27;92.06;47.20;1.59;4916.28;5020.49
24.23;90.72;6.40;1.48;5020.49;4568.00
24.93;87.15;1.60;1.68;4568.00;4733.85
25.29;90.14;3.20;1.73;4733.85;4939.42
24.69;93.39;180.20;0.86;4939.42;5130.46
25.30;92.97;61.40;1.15;5130.46;4883.32
24.64;92.21;4.00;0.87;4883.32;5223.13
25.77;86.31;0.20;1.69;5223.13;5649.86
26.31;90.93;3.80;1.56;5649.86;5734.91
25.89;91.26;31.00;0.99;5734.91;5621.07
25.03;93.87;41.00;0.76;5621.07;5817.29
26.15;91.43;43.80;1.27;5817.29;5745.05
25.82;93.28;111.80;1.19;5745.05;5865.25
26.33;91.06;6.00;0.98;5865.25;5994.00
24.80;97.18;29.40;0.41;5994.00;5879.93
25.56;94.25;57.00;1.00;5879.93;6022.96
25.46;91.93;37.60;1.32;6022.96;6022.12
25.35;93.61;42.80;1.18;6022.12;5989.30
25.18;94.71;174.80;1.14;5989.30;5983.31
25.29;93.37;84.40;1.23;5983.31;5576.25
25.00;96.25;188.40;0.58;5576.25;5782.47
25.96;90.72;67.20;1.34;5782.47;5348.69
25.41;93.63;61.60;0.89;5348.69;5440.26
25.86;91.15;15.40;1.20;5440.26;5670.47
26.18;91.83;78.00;1.44;5670.47;5485.92
26.85;88.78;0.00;1.34;5485.92;5652.18
25.19;89.94;7.71;1.33;5652.18;5160.87
25.19;90.76;14.41;1.33;5160.87;5044.30
25.19;91.57;21.10;1.33;5044.30;5106.19
26.15;91.18;31.60;1.34;5106.19;5329.54
25.76;93.85;31.60;1.04;5329.54;5040.77
26.49;92.13;7.60;1.16;5040.77;5022.63
25.24;94.38;60.40;1.25;5022.63;5478.15
25.56;90.60;24.20;1.96;5478.15;4666.97
24.78;94.25;64.20;1.42;4666.97;4708.13
23.02;95.91;308.40;2.99;4708.13;4305.23
23.95;98.59;214.40;1.89;4305.23;4107.20
23.97;96.75;184.80;1.09;4107.20;4518.59
24.65;95.25;74.60;1.63;4518.59;4334.14
24.36;91.21;16.60;1.50;4334.14;5715.65
24.49;91.68;80.20;1.79;5715.65;5639.02
24.17;90.99;10.00;1.39;5639.02;5562.39
24.83;93.88;145.60;1.14;5562.39;5581.37
24.18;92.46;10.80;0.87;5581.37;5041.05
23.15;95.90;67.60;1.58;5041.05;4652.85
24.33;93.81;110.80;1.24;4652.85;4326.58
22.86;97.03;456.00;1.57;4326.58;4378.96
24.01;93.12;48.40;1.29;4378.96;4383.24
24.14;89.50;66.80;1.38;4383.24;4943.15
24.18;92.80;35.00;1.05;4943.15;4342.76
23.19;97.65;232.60;1.51;4342.76;4574.53
24.09;89.60;15.20;1.77;4574.53;4299.36
24.49;88.53;13.00;1.43;4299.36;4524.46
24.98;88.26;1.60;2.01;4524.46;4775.19
25.75;88.65;0.60;2.51;4775.19;4214.26
25.12;85.20;0.20;1.73;4214.26;4349.26
25.78;88.70;40.40;1.97;4349.26;3962.57
25.51;90.84;42.80;1.38;3962.57;4952.07
25.46;92.97;59.80;1.18;4952.07;3893.84
26.02;91.94;23.60;1.57;3893.84;4357.88
25.44;95.09;207.00;1.29;4357.88;3977.50
26.14;91.88;13.40;1.25;3977.50;4938.53
26.86;90.76;33.20;1.85;4938.53;5986.94
25.93;94.50;37.00;1.20;5986.94;5785.32
26.27;94.01;97.60;1.47;5785.32;5524.56
26.31;91.71;16.20;1.48;5524.56;6209.22
26.56;91.11;26.60;1.49;6209.22;6035.82
26.24;91.61;23.20;1.65;6035.82;5956.87
25.57;93.86;35.00;1.36;5956.87;6064.81
25.58;95.77;139.40;1.36;6064.81;5845.22
25.94;93.43;101.60;1.34;5845.22;5807.26
26.71;92.81;72.80;1.71;5807.26;5446.65
25.98;96.58;231.60;1.19;5446.65;5828.91
26.18;93.88;102.40;1.42;5828.91;5352.46
26.68;90.52;28.00;1.71;5352.46;6147.75
26.29;93.66;31.60;1.35;6147.75;5287.57
26.94;89.88;5.60;1.90;5287.57;5026.92
26.99;90.45;14.20;1.83;5026.92;5563.28
27.07;88.17;1.80;1.81;5563.28;5663.86
26.78;91.36;13.40;1.62;5663.86;5654.73
26.60;91.09;23.40;1.73;5654.73;4954.74
26.45;93.89;63.40;1.26;4954.74;4642.97
26.37;62.48;25.80;1.44;4642.97;4772.37
26.64;66.99;82.00;1.39;4772.37;5623.97
26.62;85.85;35.00;1.15;5623.97;5359.91
25.49;86.67;170.60;2.06;5359.91;4963.64
24.32;95.24;164.60;1.25;4963.64;4798.73
23.68;98.69;236.00;1.26;4798.73;4768.71
24.80;96.61;71.20;1.20;4768.71;5444.69
24.98;94.29;65.60;1.40;5444.69;5061.24
24.22;95.04;51.40;1.31;5061.24;4886.93
24.17;96.46;81.40;1.29;4886.93;4756.27
24.01;95.13;8.20;1.84;4756.27;5441.76
23.60;94.79;37.80;1.51;5441.76;4688.60
22.43;97.48;341.40;2.36;4688.60;4778.73
25.07;91.86;12.80;1.59;4778.73;4524.83
24.04;92.11;7.00;1.58;4524.83;5938.61
25.08;93.38;4.00;1.61;5938.61;5774.77
