Lugar;Algoritmo;RMSE;R2
28 Millas;Ridge regression;410.0139525;0.472023274
28 Millas;Linear regression;410.0141396;0.47202364
28 Millas;SVR - linear kernel;410.043263;0.497495733
28 Millas;Ridge regression;410.0593155;0.46578283
28 Millas;Linear regression;410.0596526;0.465783052
28 Millas;ElasticNet regression;410.0831289;0.451353812
28 Millas;Ridge regression;410.0968608;0.502917863
28 Millas;Ridge regression;410.0968608;0.502917863
28 Millas;ElasticNet regression;410.1594069;0.455947572
28 Millas;Linear regression;410.1778119;0.502942388
28 Millas;Linear regression;410.1778119;0.502942388
28 Millas;Ridge regression;410.1801932;0.478428157
28 Millas;Linear regression;410.1844546;0.478427743
28 Millas;ElasticNet regression;410.186925;0.512876872
28 Millas;ElasticNet regression;410.186925;0.512876872
28 Millas;Ridge regression;410.2103502;0.473436314
28 Millas;Linear regression;410.2108417;0.473436631
28 Millas;SVR - linear kernel;410.224014;0.529227173
28 Millas;ElasticNet regression;410.2254724;0.473229949
28 Millas;ElasticNet regression;410.2485609;0.473239617
28 Millas;ElasticNet regression;410.2547709;0.490390452
28 Millas;ElasticNet regression;410.2547709;0.490390452
28 Millas;ElasticNet regression;410.2823439;0.463108447
28 Millas;ElasticNet regression;410.2922652;0.464008762
28 Millas;ElasticNet regression;410.304084;0.466460946
28 Millas;ElasticNet regression;410.3057121;0.489831612
28 Millas;ElasticNet regression;410.3057121;0.489831612
28 Millas;ElasticNet regression;410.3057121;0.489831612
28 Millas;ElasticNet regression;410.3057121;0.489831612
28 Millas;Ridge regression;410.3233918;0.462351305
28 Millas;Linear regression;410.3244939;0.462350915
28 Millas;ElasticNet regression;410.3333267;0.462444689
28 Millas;ElasticNet regression;410.3402832;0.466032374
28 Millas;Ridge regression;410.3446277;0.469061858
28 Millas;Linear regression;410.3447879;0.469062231
28 Millas;ElasticNet regression;410.3640258;0.458526923
28 Millas;ElasticNet regression;410.364783;0.489101146
28 Millas;ElasticNet regression;410.364783;0.489101146
28 Millas;ElasticNet regression;410.364783;0.489101146
28 Millas;ElasticNet regression;410.364783;0.489101146
28 Millas;ElasticNet regression;410.3649446;0.462257962
28 Millas;Ridge regression;410.3758296;0.475372209
28 Millas;Linear regression;410.3769968;0.475372338
28 Millas;ElasticNet regression;410.3839806;0.45326347
28 Millas;ElasticNet regression;410.3862728;0.523265825
28 Millas;ElasticNet regression;410.3862728;0.523265825
28 Millas;ElasticNet regression;410.3862728;0.523265825
28 Millas;Ridge regression;410.4135619;0.480332821
28 Millas;Linear regression;410.4216678;0.480334151
28 Millas;ElasticNet regression;410.4217644;0.512876502
28 Millas;ElasticNet regression;410.4217644;0.512876502
28 Millas;ElasticNet regression;410.4217644;0.512876502
28 Millas;ElasticNet regression;410.4430643;0.460050045
28 Millas;SVR - linear kernel;410.4680498;0.512478018
28 Millas;ElasticNet regression;410.4688279;0.531996283
28 Millas;ElasticNet regression;410.4688279;0.531996283
28 Millas;ElasticNet regression;410.4688279;0.531996283
28 Millas;ElasticNet regression;410.4695658;0.489072105
28 Millas;ElasticNet regression;410.4695658;0.489072105
28 Millas;ElasticNet regression;410.4708563;0.496858339
28 Millas;ElasticNet regression;410.4708563;0.496858339
28 Millas;ElasticNet regression;410.4734979;0.495764089
28 Millas;ElasticNet regression;410.4734979;0.495764089
28 Millas;Ridge regression;410.4770601;0.507497068
