TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
30.7;18.9;24.58;91.49;61;100;288;6.8;12.9;1.96;;;;
30.4;19;23.45;92.27;61;100;212;126.8;12.9;1.95;1140;1660;1880;3789.8
30.1;19.7;24.12;91.69;62;100;281;67.4;11.3;1.44;1100;2180;2100;4465.05
30.1;18.5;23.46;93.13;60;100;235;317;16.1;1.95;1200;2100;2340;4794.01
30.9;20.8;24.89;93.01;64;100;224;127.4;12.9;1.62;1080;1880;2260;4892.12
30.8;20.6;24.83;92.03;62;100;273;66;14.5;1.8;1320;2100;2360;5172.96
31.8;17.9;24.32;87.69;45;100;376;20;12.9;1.77;1280;2220;2360;5545.53
30.4;19;23.47;93.31;61;100;231;114.4;9.7;1.61;1660;2400;2400;5625.52
30.3;18.3;23.81;89.65;56;100;339;36.8;14.5;2.18;1380;2320;2400;5348.21
30.6;17.2;24.37;89.65;54;100;321;28.4;11.3;1.77;1100;2020;2380;4839.36
30.2;20;24.12;90.56;58;100;288;45.4;16.1;2.23;1240;2100;2380;4954.79
30.1;19.2;24.33;89.85;62;100;328;32.6;14.5;1.92;1280;2160;2360;4918.36
30.6;19.1;24.2;91.72;59;100;299;37.6;14.5;1.76;880;1480;2180;4284.14
30.8;20.3;24.24;93.86;58;100;237;205;9.7;1.42;1280;1840;2240;5046.72
30.6;19.9;24.74;88.27;58;100;372;5.6;12.9;2.19;1040;1920;2240;5263.94
31.2;20.4;24.73;90.36;62;100;296;60.2;11.3;1.72;1120;1810;2250;5185.98
31.8;19.4;26.03;88.9;62;100;372;8;12.9;2.04;1200;1700;2260;5108.02
31.4;21.3;25.35;93.1;67;100;267;111;14.5;1.45;1080;1900;2180;5215.55
31.4;20.1;25.28;88.15;60;100;366;2.2;16.1;2.13;1080;1960;2360;5258.94
32.5;21.6;26.22;90.37;60;100;353;4;11.3;1.67;900;1800;2360;4981.17
33.4;22.4;26.16;90.37;58;100;269;38;12.9;1.55;900;1680;2240;4471.26
32.6;20.7;25.42;94.01;64;100;235;71.2;11.3;1.17;880;1760;2300;4608.29
31.9;21.6;25.52;92.3;63;100;290;32.6;11.3;1.43;1040;1460;2320;4779.46
32.4;21.9;26.16;90.35;63;100;305;3.8;12.9;1.99;800;1380;2100;4679.81
32.4;21.2;26.13;89.3;61;100;324;2;11.3;1.41;800;1620;2080;5572.99
33;21.2;26.2;90.11;61;100;308;6.8;12.9;1.4;960;1840;2180;5224.88
32.1;22.1;26.12;94.26;66;100;244;204;12.9;1.65;1000;1820;2300;5292.85
