TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
32.26;21.1;25.64;93.03;58.23;100;259;43;7.7;0.85;1400;2320;2380;5163.39
32.84;20.93;25.87;92.22;62.62;100;298;87.5;6.95;1.18;1640;2240;2380;5497.25
30.73;21.04;24.75;96.48;63.12;100;195;259.1;5.45;1.06;1460;2240;2360;5506.45
29.63;20.96;23.2;97.05;68.53;100;168;248.6;6.95;1.69;1360;2080;2340;4768.94
31.28;20.17;23.89;92.6;61.13;100;216;106.3;6.95;1.6;1820;2300;2380;5637.26
32.07;19.7;25.07;91.1;52.91;100;272;33.2;6.95;0.99;;;;
31.08;21;24.69;93.91;65.26;100;238;174.8;7.7;1.21;;;;
30.12;21.17;24.27;94.28;67.23;100;226;281.7;8.45;1.5;1520;2360;2360;4906.41
31.21;20.35;24.83;94;64.11;100;260;60.4;9.2;1.05;1820;2440;2380;5139.67
30.93;19.91;24.4;91.7;59.71;100;266;76.5;6.95;1.28;1540;2280;2400;4584.61
30.75;18.97;23.11;94.79;60.08;100;221;133.3;6.2;0.9;1840;2360;2400;4726.02
31.18;19.92;24.79;92.06;55.93;100;259;136.6;8.45;1.25;1300;2240;2340;4451.73
31.69;19.41;24.25;91.33;56.44;100;270;69;6.2;0.98;1540;2340;2360;5590.33
31.81;18.71;24.23;92.68;47.93;100;270;128.8;6.95;1.14;1300;2240;2360;4776.78
31.52;18.12;25.04;87.78;52.73;100;374;44.9;6.95;1.39;960;1780;2320;4637.86
31.57;19.05;24.48;88.43;50.59;100;358;64.6;8.45;1.51;1180;1920;2300;4775.11
30.76;21.2;24.67;92.55;57.24;100;281;42.5;7.7;1.41;1360;1980;2220;4742.83
31.76;18.54;24.68;87.28;51.35;100;368;13.6;7.7;1.45;980;1880;2220;4627.53
31.66;19.32;25.65;85.12;53.23;100;408;0;7.7;1.7;1260;1880;2220;5417.76
32.19;19.53;25.29;86.57;51.16;100;377;21.1;8.45;1.59;1320;1980;2320;5477.1
31.84;19.77;25.18;90.62;58.25;100;335;44.7;7.7;1.47;1400;2160;2320;5542.2
32.52;22.25;25.61;93.38;60.22;100;266;117.3;6.2;0.86;880;1760;2300;4975.91
32.84;21.58;26.28;90.37;60.54;100;364;40.8;6.95;1.25;880;1220;1920;4203.81
33.48;21.76;26.92;90.61;56.18;100;318;10.4;6.2;1.17;940;1440;1680;4541.44
33.1;22.25;26.31;91.31;58.96;100;292;53.7;6.2;0.97;1480;2100;2020;5707.74
31.42;21.7;25.4;97.25;68.95;100;168;396.4;6.95;0.75;1020;2040;2340;5834.87
32.11;20.57;25.65;94.18;57.17;100;254;101.5;8.45;0.91;1220;1980;2280;5619.16
32.3;19.67;25.28;93.23;55.96;100;284;258.6;6.2;0.93;1480;2180;2280;5233
33.2;23.01;27.1;90.22;59.77;100;339;52.9;7.7;1.11;1220;2140;2340;5631.51
32.96;21.57;26.31;91.65;63.97;100;306;61;6.95;0.7;1460;2420;2380;6312.14
33;23.54;26.5;95.3;63.59;100;223;179.5;6.95;0.7;1360;2380;2400;5946.54
32.49;22.72;25.74;97.22;68.35;100;159;409;8.45;0.63;1220;2120;2400;5354.35
31.93;23.06;26.31;94.03;66.83;100;277;159.2;8.45;1.19;1360;2160;2360;5250.23
32.24;22.32;25.53;95.6;65.61;100;223;317.4;6.2;0.93;1680;2100;2380;5552.97
32.47;22.21;25.95;92.76;64.84;100;298;114.2;6.2;0.85;1640;2240;2380;5228.7
32.28;19.97;25.7;92.58;54.94;100;285;92.1;6.2;0.75;1720;2400;2380;5576.7
32.92;21.25;25.66;94.1;53.5;100;263;115.3;6.95;0.68;1580;2260;2360;5596.83
32.5;23.26;26.17;95.87;68.17;100;237;168.2;6.2;0.82;1680;2400;2380;5741.07
33.38;22.28;26.19;92.84;53.76;100;307;63.8;6.2;0.93;1720;2260;2400;5196.86
32.22;21.75;25.74;95.59;67.91;100;212;88.6;6.95;0.72;1480;2280;2360;4795.07
33.65;21.59;26.5;90.23;53.13;100;351;26.2;6.95;1.09;1780;2260;2380;5251.24
34.44;21.51;26.07;92.63;59.66;100;277;21.7;12.95;0.94;1440;2340;2300;5176.94
32.69;20.99;25.38;94.5;61.1;100;229;94.6;6.95;0.7;1840;2380;2340;5028.46
34.19;21.41;26.75;91.33;57.97;100;312;24.8;9.95;0.93;1440;2320;2320;4931.18
34.96;22.48;26.73;90.92;58.13;100;339;47.2;6.95;0.96;1540;2160;2380;5229.53
34.24;21.26;27.15;89.25;53.23;100;416;22.7;8.45;1.05;1560;2220;2400;5122.4
34.19;21.47;26.62;92.04;51.18;100;320;54;5.45;0.85;1180;2040;2300;5278.91
33.14;22.38;26.61;91.46;63.42;100;338;7.8;6.2;0.9;1240;2060;2380;5044.66
33.48;22.98;27.41;89.64;60.91;100;392;17;6.2;1.16;1120;1840;2280;5238.18
33.58;22.05;26.54;90.93;59.38;100;339;2.7;7.7;0.95;1220;2120;2280;5512.59
33.88;21.35;26.85;88.33;55.63;100;403;2.3;6.95;1.02;1120;2220;2340;5534.8
34.11;21.52;26.47;91.05;57.02;100;347;48.5;5.45;0.83;1360;2000;2340;5451.83
